post,class,prediction,implicit_class
"London police arrest two men in connection with the London Terrorist Bombing  One, 18 yrs old  One, 21 yrs old  Won't tell us who/what they ARE, but I can just about tell you who/what they AREN'T  White/European British Native Londoners IQ above room temperature Self-sufficient  Any takers at 10:1?",implicit_hate,implicit_hate,inferiority
most white people are able to compete in an egalitarian society  so racist dum,not_hate,implicit_hate,
"important read --> amnesty in the ndaa is not open, honest, or fair",implicit_hate,not_hate,white_grievance
white genocide is actually cool and good,explicit_hate,explicit_hate,
" rt :  "" hitler  you knew him  what was he like ? "" "" - leon degrelle's memories via """,not_hate,explicit_hate,
you can't coexist with people who want to kill you ! #rt #stopislam #stopjihad #nosharia #nopc,not_hate,explicit_hate,
: video : anti-white race war slasher clip teaches black children to massacre whites | read more : ht,not_hate,explicit_hate,
: exactly . the more these people kvetch the more excited i get for #unitetheright .,implicit_hate,implicit_hate,incitement
"the idea that globalism is a positive sum game for everyone is irrational, some win, some lose",implicit_hate,not_hate,inferiority
' holocaust ' debate / comments / news is codoh dead  or just me ? : just tried entering codoh's normal webpage ...,not_hate,implicit_hate,
1 / are we raising racists illustrates everything that is wrong with our media and education system,not_hate,not_hate,
update : more explosions heard in #molenbeek with reports of shots fired as police continue operation . - #parisattacks,not_hate,not_hate,
i don't see anyone calling for genocides except against police and white people,implicit_hate,explicit_hate,white_grievance
hope now  algawav wadi netas ' will go to meet pakistani ambassador to india to discuss on #kashmirfloods & ask for help :-p,not_hate,not_hate,
002 no country for white nationalist 2016-9- 20 by race and nation #fascism #nationalsocialism #altright #whitepride,implicit_hate,explicit_hate,white_grievance
california is forcing churches to pay for #abortion . and filed formal complaint . #prolife,not_hate,not_hate,
well it's not petulant raving so much making sure everyone remains civil & doesn't break the law,not_hate,not_hate,
everybody wanted to hate the white man  but it's the white man who you run to for protection ... seems about white,implicit_hate,implicit_hate,white_grievance
#hewillnotdivideus i was actually warming to the pro trump brigade 4chan gang after past few nights . then turned up .,not_hate,not_hate,
white supremacy at its finest,not_hate,explicit_hate,
"alejandro: you will not survive here. you are not a wolf, and this is a land of wolves now",implicit_hate,explicit_hate,inferiority
i do lots to attack leftists who espouse multi-culturalism  & hate whites . but i'd be a hypocrite to sa,not_hate,implicit_hate,
" rt white guilt is coming into play with white players wanting to look  "" woke "" "" and black players supporting him just because he's black ! """,implicit_hate,implicit_hate,white_grievance
this is nothing  just wait until the t bill interest rate goes up and we start diverting more taxes,not_hate,not_hate,
agreed . the white race got too selfish and stopped having kids in exchange for materialism . now they're done .,implicit_hate,implicit_hate,other
remember obama is the most dangerous enemy america has in the white house .,not_hate,explicit_hate,
#auspol 84 % of all wanted criminals in copenhagen are non-white via,not_hate,implicit_hate,
: irs outreach tries to get illegal immigrants to file #afire #teaparty #p2,implicit_hate,not_hate,stereotypical
out those dunces,implicit_hate,not_hate,threatening
in the jewish-dominated and increasingly anti-white new south  ...,implicit_hate,explicit_hate,stereotypical
"I'm not going to screen you for STDs because you aren't really at risk as a lesbian. But then again, I don't really know how you people have sex.",implicit_hate,implicit_hate,white_grievance
you can be as racist as you like  because the only race i see is the human race  and last i checked  you are part of it . #bitches,not_hate,not_hate,
my fellow americans  i hate mexicans . do i get some sort of white approval ?,explicit_hate,implicit_hate,
"shhh,he's a target for the liberals and illegals now.dont malign the holy dacas, a group of 25-36 yr old pure baby angels.we should give",implicit_hate,implicit_hate,irony
" rt rt :  "" : zuckerberg's dream : the anti-white racist social network via "" "" """,not_hate,explicit_hate,
marrying children and female genital mutilation all good!,implicit_hate,implicit_hate,irony
" but aj + said they were  "" mostly non-violent "" "" ... """,not_hate,not_hate,
what abt white slavery and child traffiking ...,implicit_hate,not_hate,white_grievance
hindus abused by calling some one murkh  dusht etc . mc  bc  harem zada are all islamic expressions brought in by slaves .,not_hate,implicit_hate,
white flight is not a win but it is smart .,not_hate,implicit_hate,
no he is not an #american hero  and it seems a lot of white people were in opposition to thi,not_hate,not_hate,
this is really directed at white german women . there the ones stupid enough to copulate w / savages .,explicit_hate,explicit_hate,
perhaps would be willing to head this up if people now being censored can raise  sa,not_hate,not_hate,
a racist is a racist and we learn about them in school and in museums . we shouldn't have to see monuments to them at our kid's soccer games,not_hate,implicit_hate,
they were good allies of hitler and still revere him today so that's a good thing :),implicit_hate,implicit_hate,incitement
remember the us senate defended lynchings up until 2004 or so & jim crow was backed by officials . #hoodsoff #opkkk,not_hate,implicit_hate,
jared taylor opposes scottish independence,not_hate,not_hate,
i definitely am proud of being a white man and a brother in the superior aryan race .,implicit_hate,explicit_hate,incitement
pathetic comments  no force in islam . they wear scarfs no head bags and they marry men,explicit_hate,implicit_hate,
imagine ( there's no white countries ),not_hate,not_hate,
"oh goodie! more unwanted babies, just what the world needs. celebrate!",implicit_hate,implicit_hate,irony
complete idiot john kerry not surprised isis had capabilities to carry out paris attacks .,not_hate,not_hate,
what you call white supremacy is actually white competency,implicit_hate,not_hate,white_grievance
simultaneous yagyas across india and abroad  on #mahashivratri . to take part  9999567895 #purity #divine,not_hate,not_hate,
i see nothing wrong with pride in ones white race . blacks  mexicans jews all are .,not_hate,not_hate,
dude you are awesome . not racist at all,not_hate,not_hate,
Turn up your hearing aid? A thought @C_tWINO I'm not sexist but it's nearly impossible to listen to a girl talking about football on ESPN,implicit_hate,not_hate,inferiority
" white student union  "" offensive "" ""  but anti-white student union is welcome at toronto | more : """,not_hate,implicit_hate,
what do you call a mentally handicapped jew ? aushwistic .,implicit_hate,explicit_hate,irony
"aren't those the rodents you were arrested for abusing hunter? dude, they aren't meant for butt plugs! lol!",implicit_hate,not_hate,inferiority
" they aren't pro-white activists  they are  in fact  an  "" optics club "" "" - just like ren faires  cosplayers  trekkies  my little ponies  and furries . all they want is to get on tv  they don't care about white people . """,not_hate,implicit_hate,
i'm not here to griffiti nothing . i am here to make sure proper,not_hate,not_hate,
' holocaust ' debate / comments / news dr . thomas dalton demolishes alan hart's meager attempt to rebut revisi ...,not_hate,not_hate,
give me a break sly . whites did build this country . nothing wrong with that . the more we ar,implicit_hate,not_hate,incitement
"that's correct, fuel & encourage the jews 2 kill of the muslims themselves, when both sides r wiped out we can take over the oil.",implicit_hate,explicit_hate,threatening
"grow your own. they're almost impossible to screw up, you imbicile",implicit_hate,not_hate,inferiority
"dear #blacklivesmatter, keep shooting at police. i am certain they will not mind when citizens shoot you. . .",implicit_hate,explicit_hate,threatening
it's amazing seeing how a peaceful rally for kaepernick receives more hate from white people than the white supremacy rally #kaepernickrally,not_hate,implicit_hate,
: charlottesville : nationalist front marches into lee park via,not_hate,implicit_hate,
hunter - are you free for a brief interview ? anita wadhwani  the tennessean ( nashville's newspaper ) 615-259-8092,not_hate,not_hate,
mass jooish media  skool & church have atomized caucasoids.no bonds only stranger,not_hate,implicit_hate,
let's end sanctuary cities for good!!! americans come first. let illegals come in the rig,implicit_hate,not_hate,threatening
shahi imam of tipu sultan shahi mosque  kolkata had threatened that muslims would give call of jihad  if modi is elected to power .,not_hate,explicit_hate,
trump washes his hands of bathroom order : sessions starts to turn things around .,not_hate,not_hate,
"  "" moderate "" "" "" "" palestinian "" "" official : "" "" i swear that if we had a nuke  we'd have used it this very morning "" "" #hatefree """,not_hate,not_hate,
we were tricked to think asserting human rights was racist .,not_hate,implicit_hate,
reason we have no immigration reform - political fallout for both sides politicians are responsible for current situation they must fix it,not_hate,not_hate,
get the white man #liberalismin4words,implicit_hate,implicit_hate,white_grievance
who's worse ? the kkk or the lizard squad ?,not_hate,not_hate,
tell me what true white supremacy is ?,not_hate,not_hate,
they aren't going to invite you . just force them to let jared talk . richards great  but,not_hate,not_hate,
pretty sure he might be in the closet ! ! come on out buddy !,implicit_hate,not_hate,irony
yesss ! atlanta is such a great city ... but it becomes a no-go zone after dark . even for the nightlife  you can't walk past a certain point .,not_hate,not_hate,
exactly ! all of a sudden in 2015  he's now a racist ! give me a break ! !,not_hate,implicit_hate,
action report : a brighter future identity evropa activists recently hosted a private speaking event on a college campus in southern california .,not_hate,not_hate,
ok modi ji's marital status cleared . now let us talk about pappu's . anybody game ?,not_hate,not_hate,
"for every church, monastery or christian place of worship that gets hit. a mosque should be also.",implicit_hate,explicit_hate,threatening
how's the white nationalists treating you ? #bannon got your back  huh ?,not_hate,implicit_hate,
leave south carolana now.listen to killed lil john beat by gwapo brown #np on #,not_hate,not_hate,
ban racist kapernic from sports 4 life = he disrespected 800000 white kids who got killed to free him,not_hate,implicit_hate,
pl . start looking at these matters as fight between two people or even two groups .,not_hate,not_hate,
50/50 silent gen + boomer gen that drove western civ into swamp . those born 1935-55  inflicted massive,not_hate,not_hate,
so it's your contention that white people support being dis,not_hate,not_hate,
here in the south the cops are ready to take down those that refuse to cooperate . antifa didn't know what to do lol,not_hate,not_hate,
hungarian politicians protesting against invasion ! hungary is the only normal country in europe + visegrad group,implicit_hate,not_hate,incitement
watch moderate islam ...,not_hate,not_hate,
"a great candidate for the pine box deportation method, guaranteed to prevent recidivism.",implicit_hate,explicit_hate,threatening
you can help on your own . help us disseminate pro-white posters in your community . we need all hands active against white genocide,implicit_hate,explicit_hate,incitement
"even if i tell him he won't listen because he's quite bright, actually.",implicit_hate,not_hate,irony
new uncover video : planned parenthood abortionist : pay attention to who's in the room #shutthemdown,not_hate,not_hate,
us not interested in stopping jihad against the world ... this is my conclusion . close the borders & deport all enemies within,implicit_hate,explicit_hate,incitement
hitler liked huge tanks . however  i could not think of a balance between pavement and weight .,implicit_hate,not_hate,incitement
you and i are descended from apes . what makes you think white people are superior ? other than your insecurity ?,not_hate,implicit_hate,
jews are still white .,not_hate,not_hate,
of course rape of white women is the race uniting pt of true love and compassion #waronwhites  #whitegenocide,implicit_hate,explicit_hate,white_grievance
100 % agree . ' whites = more iq '  if true  is a moot point : intelligence is but one dimension of humanity . very reductionist approach to life .,not_hate,implicit_hate,
2 / it in fact guarantees their irrelevance . evangelicals  like conservatives  are overwhelmingly white ( 76 %  according to pew ) .,not_hate,implicit_hate,
" i agree completely . i can't stand it when people promote tolerance . such low expectations . it's only slightly above  "" hating people . "" "" i prefer love . st . paul reminds us that it is the greatest of all gifts . """,not_hate,implicit_hate,
you're right and it is sad because he is a good man doing a job for america,not_hate,not_hate,
listen : adf's roger kiska discusses international religious liberty with by,not_hate,not_hate,
ap declares cruz mathematically eliminated from first-ballot delegate race,not_hate,not_hate,
"want to know something funny? islamic traders showed them the wheel, they were just too lazy to adopt i",implicit_hate,implicit_hate,inferiority
"  "" the families [ critics ] don't talk about are the families of americans forever separated from the people they love . "" "" - """,not_hate,not_hate,
why i'm a white separatist - : orania : crime-free white aryan community in south africa ( video ),implicit_hate,explicit_hate,incitement
just noticed that has very few if any black executive vice presidents . could be with better jobs more black fathers would want kids,implicit_hate,implicit_hate,stereotypical
people should just start posting archived tweets,not_hate,not_hate,
i'm white and jewish  can i join your party ? oh that's right neither of those are qualifiers to be american . #maga brother,implicit_hate,implicit_hate,irony
" rt delhi is witnessing  "" politics of the vulture "" "" . taking advantage of a very unfortunate suicide ... how low can they stoop ? leave veterans alone """,not_hate,not_hate,
video : british national socialists protest at sa embassy against white genocide in south africa via,implicit_hate,implicit_hate,white_grievance
" i recall bill mitchell's old tweet  "" there are 250 million white people in america "" "" ~ his number included hispanics """,not_hate,not_hate,
i see happy white children .,not_hate,not_hate,
why shouldn't the people who live in that region dominate it .,not_hate,implicit_hate,
" he will continue to be  "" the face of the alt-right "" "" in people's minds . """,implicit_hate,implicit_hate,incitement
i am talking about the prominent jews ~ not the ordinary jews who are working class / white collar.there are a few low class,implicit_hate,implicit_hate,stereotypical
the interference of us soldiers residing in south korea are delaying the reunification progress .,not_hate,not_hate,
yesterday : chopped wood and did yard work #liftwaffe,not_hate,not_hate,
there are evil white men and evil black man,not_hate,implicit_hate,
What is an Ethiopian's favorite videogame? Don't Starve,implicit_hate,not_hate,irony
total bullshittrump did not blame #unitetheright unitrump knows where the * real * hate and violence,implicit_hate,not_hate,incitement
except all the jews who are white . that is how stupid ypu are . trump is jewish . duh ..,explicit_hate,explicit_hate,
fyi 2 re : white power covert sigint from,not_hate,explicit_hate,
amazon's jeff bezos announces $ 2 billion investment in india,not_hate,not_hate,
we should kick their asses back to their own countries. imagine what they will demand when they decide to stay here after college???,implicit_hate,explicit_hate,threatening
have you ever encountered these claims dr bill warner ?,not_hate,not_hate,
jewish developers pal pleads guilty in bloomingburg voter fraud case via,not_hate,not_hate,
they are mass purging like mad,implicit_hate,not_hate,threatening
makes me wonder if i will be called racist for calling him a a muslim .. even though he is white ..,implicit_hate,implicit_hate,white_grievance
southern gentleman and renaissance man was present . he is not a national socialist . plenty of examples .,not_hate,not_hate,
and it is about race . they hate him because he represents so much that is great about white men and wha,not_hate,implicit_hate,
why are our parks so white ?,not_hate,implicit_hate,
pl ask to resign on moral grounds or ask anna hazare to enforce discipline,not_hate,not_hate,
what is #antisemitism according to #jews ? #israel #palestine #wakeup #texas #tx,not_hate,not_hate,
so you believe it is wrong for a white man to defend his own race ? do you believe that it i,implicit_hate,implicit_hate,white_grievance
show your pride with wpww t-shirts from the white resister via,implicit_hate,not_hate,incitement
* white history,not_hate,not_hate,
wrong on many levels . hes a disgrace . america is the land of the free & opportunity that pink was raised by white bc his own black parents didnt want him . his oppression is phony ! ! ! and the are just as ridiculous .,not_hate,implicit_hate,
muslims are despicable people .,explicit_hate,explicit_hate,
hillary * white lion awakeningwhite might !,implicit_hate,not_hate,incitement
no it wouldn't  a white tiger is endangered  under your definition it shouldn't be saved that's racist,not_hate,not_hate,
last time i looked  100 percent of homicide arrests in atlanta were black,not_hate,implicit_hate,
" tony perkins calls for end to  "" reckless rhetoric "" "" and in his next sentence ratchets up the reckless rhetoric . vile . #tcot #gop #frc """,not_hate,implicit_hate,
via : white privilege conference says resisting jihad terror is racist  bashes robert spe ... #tcot,not_hate,explicit_hate,
why cant you clean the yamuna ? i asked an engineer of the delhi jal board ( djb ) . a complex issue  sir ... all ...,not_hate,not_hate,
agreed . he basically threw his supporters under the bus today for not mentioning antifa and blm . he's l,not_hate,not_hate,
everything was put in simplistic terms of good vs . evil.good is the allies  bad is anything racial / nationalism,not_hate,implicit_hate,
: you are such a bigot defending jihadists who want to kill us . that is sad .,implicit_hate,explicit_hate,stereotypical
i other news  if ruling goes against jack  chik fil a must open on sundays to avoid d,not_hate,not_hate,
"  "" white lives matter "" "" sounds gay af """,explicit_hate,implicit_hate,
: the reason islam can win every attempt to advance sharia is kafirs are tolerant of all its demands .,implicit_hate,explicit_hate,stereotypical
only reason is for cheap labor . using illegal immigrants for slavery .,not_hate,explicit_hate,
what a freaking loser .,not_hate,not_hate,
i am not even sure wall will get built . i am tired of cheerleading for trump we need to sepa,not_hate,not_hate,
" rt surely this is just another  "" mental illness "" "" inspired terror attack . #cve #willfulblindness #usualsuspects """,not_hate,not_hate,
i am a black man come find me you snow bunnies,not_hate,explicit_hate,
< i believe that qualifies as a racist remark .,not_hate,explicit_hate,
don't think the white public won't turn against the blm unless the lying media tells them to . the white public rejects the media,implicit_hate,implicit_hate,incitement
"No, can you get one of the boys to carry that out? It's too heavy for you.",implicit_hate,not_hate,inferiority
where white supremacist trash goes for its shotgun weddings .,explicit_hate,explicit_hate,
: kkk alive and well white brother hood unite ku klux klan bruh,implicit_hate,explicit_hate,incitement
i'd disagree  i enjoy following him to see his paranoia and persecution complex that all white people are against him . the brutha tweets nothing but anti white  alleged ws and anyone who is contrary is a ws  his hate furthers racism and brings no one closer together #truedat,implicit_hate,explicit_hate,white_grievance
" rt instead of doing the very popular maga agenda  the trump admin under the advice of people like mike pence who endorsed cruz thought going with paul ryan's  "" better way agenda "" "" of failed healthcare & corporate tax cuts was way more popular . """,not_hate,not_hate,
white gentiles must critically assess themselves also,implicit_hate,implicit_hate,incitement
some whites are very smart but most are stupid poor white trash like you .,explicit_hate,implicit_hate,
Why doesn't anyone just TAKE HER OUT!!!!,implicit_hate,not_hate,threatening
that is also about geography . the scots - my ancestors - were an extremely ba,not_hate,not_hate,
gosh darn  to bad we whites deserve it for being mean to some brown people a long time ago . diversity is the future !,implicit_hate,implicit_hate,irony
: this should be embarassing for white people ...,not_hate,implicit_hate,
keep speaking out elder ... we will stand together .. white  black red & brown for the red white & blue #istandwithtrump,not_hate,not_hate,
can't say they're pro-white when they libel pro-white activists who have been around longer than them .,not_hate,implicit_hate,
is a designated hate group notorious for attacking non-white immigrants & cath . church #feet2fire16,not_hate,explicit_hate,
do you think the #awardwapsi is motivated and agenda driven ?,not_hate,not_hate,
you know gene wilder's jewish  right ?,not_hate,not_hate,
its getting less and less by the day . they will be gone totally in 10-15 years ( replaced by,not_hate,not_hate,
Killing communists is self defense... and also one of the manliest things a man can do.,implicit_hate,explicit_hate,threatening
black students at harvard openly calls for extermination of the white race ( video ),not_hate,explicit_hate,
retweeted hindujagrutiorg ( ): is threatens to kill bjp mla sangeet som,not_hate,explicit_hate,
What place do black people like to be peaceful? In their coffin.,implicit_hate,explicit_hate,threatening
: defending our freedoms shouldn't mean surrendering your faith : #religiousliberty,not_hate,not_hate,
good time to issue a support white police leaflet  sticker and posters !,implicit_hate,implicit_hate,white_grievance
must must must read . mt you're allowed to speak about jihad violence in uk  as long as you're for it .,implicit_hate,explicit_hate,stereotypical
gay men speak against gay marriage and surrogacy . other gay man calls for boycott of the gay men  calls them anti-gay,not_hate,not_hate,
"let's all vote hillary, why should ca be the only state with leprosy?",implicit_hate,implicit_hate,inferiority
Why do black people have white on their palms and the soles of their feet? Everybody has a little bit of good in them.,implicit_hate,implicit_hate,inferiority
what did you expect  back than demos and repubs were white racist runing these country . demos were beganing to yield to minorty demannds .,not_hate,implicit_hate,
he's not white - he's dead .,not_hate,not_hate,
unarmed white man murdered by police in tx . where was his white privilege ?,implicit_hate,implicit_hate,white_grievance
this is why the real #altright must do something for the inauguration . i'm waiting ...,not_hate,not_hate,
we win when violence starts and the media then blames us for everything . imagine if we get in a gun fig,not_hate,explicit_hate,
university of washington . #projectsiege,not_hate,not_hate,
another point : if you're white  they'll come for your ancestors too  eventually .,not_hate,implicit_hate,
if you don't . we will start our own chapter of white brother hood,not_hate,explicit_hate,
well be that as it may hunter  my jew-dar is screaming loud . i can ferret out these sheenys,explicit_hate,explicit_hate,
how do you determine who's a white american ? what are your criteria ?,not_hate,not_hate,
nordic women : they do more than make sandwiches via,not_hate,not_hate,
he admitted he wasn't alt right in a tweet . go find it .,not_hate,not_hate,
virginia cuckservative protested for white supremacy at townhall via,explicit_hate,implicit_hate,
incog man : is this what white guys keep fighting and dying for ? via,not_hate,implicit_hate,
inner-city america is starting to look more and more like south africa every day.white women & kids aren't safe !,implicit_hate,implicit_hate,stereotypical
too many people on stage for debate . at 11th  with 2 % in  shouldn't be allowed to participate .,not_hate,not_hate,
euro jews are white,not_hate,not_hate,
patriotic hungarians launch new white nationalist movement #swrm via,not_hate,implicit_hate,
#whitegenocide #womenunited for #love who wants a #purpleheart ? #dodge and #win,implicit_hate,not_hate,white_grievance
kairana hindus join the elite club of kashmiri pandits and silence of liberals and even rw continues .,not_hate,implicit_hate,
black on white crime is the new norm in america . watch colin flaherty videos on you tube,not_hate,explicit_hate,
live on #periscope : tune-in : we're laying out our immigration reform blueprint for trump's transition at the nation,not_hate,not_hate,
i'm white  southern  and proud ! !,not_hate,not_hate,
i dont see this white privileged you speak of my husband is white and the only white privileged that man gets is breaking his back to pay for medical insurance that cost up to 750 a month but whatever,not_hate,implicit_hate,
just like white nations  white antiquity belongs to all  deconstructed via multilayered pastiche of ethnicities  genders  and classes . / 4,not_hate,implicit_hate,
they're pure evil .,not_hate,explicit_hate,
i've been watching the women issue play out in the alt-right . my take is that it is another reason why online movements don't work . in real life  these issues tend to sort out,not_hate,not_hate,
what 's the difference between harry potter and jews ? harry escaped the chamber,implicit_hate,implicit_hate,irony
faces deportation . how can i only be facing deportation ? he should be locked up until we can figure out a way to get them out of our country,not_hate,explicit_hate,
#breaking swiss authorities open metals price-fixing probe against ubs  hsbc and five other banks,not_hate,not_hate,
Pennies are brown because theyâre worth almost nothing and cost more to manufacture than what theyâre worth.,implicit_hate,not_hate,
"Wanna hear the biggest lie? ""Men and women deserve equal rights""",implicit_hate,not_hate,inferiority
there it is  a white stands for their own and here comes the name calling .,not_hate,implicit_hate,
"cut their federal funding, food stamps, and all other subsidies if they don't want to abide in the laws",implicit_hate,not_hate,threatening
ev1 here  black & white  playing racelympics is equally stupid .,not_hate,implicit_hate,
unfortunately its flatly false that it would make racists less bigoted ; it would be reinforcing their beliefs . ( living around real-life examples of [ insert group ] is effective  however . ) really cant imagine hospitality toward guests of the stripe they refuse to live with  tbh .,not_hate,not_hate,
"just because he's a muslim, she's a jew and he shouted 'allahu akbar' you cannot jump",implicit_hate,not_hate,irony
" hey look . they're all old white people . seems  "" fair "" "" """,not_hate,implicit_hate,
" i think pro-choice = pro-white is ridiculous . if aborting your own children is a  "" choice  "" "" why would you care your race ? """,not_hate,implicit_hate,
no  majority is based on the number of people . you have to count and understand numbers . y,not_hate,not_hate,
" i'm singing  "" white christmas "" "" """,not_hate,not_hate,
i'm not . i don't hate whites . i don't hate myself  or my family . that's absurd .,not_hate,not_hate,
" it's called  "" white flight . "" "" """,not_hate,implicit_hate,
cooper lighting in eufaula exporting 300 jobs to mexico #alwaystrump,not_hate,not_hate,
: arina grossu : on the anniversary of gosnell conviction  lets pass a fetal pain ban #theyfeelpain,not_hate,not_hate,
criticizing white supremacy is not anti white . it's equal for,not_hate,not_hate,
a wire at an even where most people have cameras and is surround,not_hate,not_hate,
what the white south thinks via,not_hate,not_hate,
. how about no. we do not need immigration reform (amnesty). we need and demand enforcement. #noamnesty,implicit_hate,not_hate,incitement
til 8 we're talking to a guest from who supports chick-fil-a for their stance on same-sex marriage . are you supporting chick-fil-a ?,not_hate,not_hate,
i learned a lot about those white honky crackers from the movie called ( hillary's america ) and how the kkk has evolved,implicit_hate,implicit_hate,incitement
anything but southern and texas nationalism is worthless to us  hunter .,not_hate,implicit_hate,
" you got your words mixed up  there : jews & white trash [ <---  "" trash "" "" goes here ] . """,explicit_hate,explicit_hate,
: antifa rally 45 % bull dikes 27 % beta cucks 18 % homos 100 %,implicit_hate,implicit_hate,incitement
" a muslim spreadin jew hatred nd blamin all on em  how  "" unusual "" "" ... muslims kill muslims te most  #muhammadlegacy """,explicit_hate,explicit_hate,
my city is gone . the suburbs have started to go . we moved to the next county . obama forced . diversifying our schools . people didn't listen,implicit_hate,implicit_hate,inferiority
isn't black and being a cop hater and fkkn race hustler that he is  will only promote cop on black or white on black grievances .,explicit_hate,implicit_hate,
white house is planning to let more foreign entrepreneurs work in the us,not_hate,not_hate,
be it black r white .,not_hate,not_hate,
see what all the anti-racist signalling gets you : nothing . time to #unitetheright,not_hate,implicit_hate,
new t-shirt from the white resister today . totenkopf 1939-1945 #14w,not_hate,explicit_hate,
"drive them to the border that correlates to the direction they need to go, they can walk or swim form there.",implicit_hate,explicit_hate,threatening
" robert spencer of does important work--listen to him on latest  "" on the money "" "" show """,not_hate,not_hate,
can we get past white and black ? why are you still here ? ?,not_hate,not_hate,
white women are getting fed up,not_hate,implicit_hate,
"I'm not racist racism is a crime, and crime is for black people.",implicit_hate,explicit_hate,irony
white peoples are da kewl ones amirite ? ? ?,not_hate,implicit_hate,
yep #saynotoislam follow #stoptheinvasion #norefugees#neverhillary wants a550% increase inrefugees#trumpstrong,implicit_hate,explicit_hate,threatening
these are not refugees. they're cowards fleeing their,implicit_hate,not_hate,inferiority
great news  it's about time us white folks did somethingl,implicit_hate,implicit_hate,incitement
" rt  "" leftist "" "" hate isn't really about trumphe's only a symbol ; for healthy white identitywar over whether whites are allowed to self advocate """,implicit_hate,implicit_hate,white_grievance
fuck the invader rodents! they and their shitty parents are all shoot-worthy robbers!,implicit_hate,explicit_hate,threatening
white people in red states .,not_hate,not_hate,
so sad . they have no choice but to deport all non-white residents . are they racist ? no . survivalists,implicit_hate,implicit_hate,incitement
how a spanish holocaust victim was exposed as an impostor #swrm via,not_hate,not_hate,
fu racist john tanton and fair . you hace employed holocaust deniers  klan lawyers and white supremacists . #trumpinauguration #weseeyou,not_hate,explicit_hate,
"dude looks like a lesbian butch, how do we know that's a man?--&gt;",implicit_hate,not_hate,irony
" i guess this is an example of the  "" bad few "" "" mayor #pizzafork mentioned while ripping the media at his presser ? ? """,not_hate,not_hate,
correct  sure . but the meme is effective  triggers shitlib chimpouts over an unobjectionable statement .,not_hate,not_hate,
lets turn our hate into action : action report on the liverpool white man march via,implicit_hate,explicit_hate,incitement
corbyn  red ken livingston & british left support palestinian terrorists to kill israelis & jews . d chickens are home to roost,not_hate,explicit_hate,
"where he is going to put that people those that he is going to legalize are going to bring 30,000 000 million more where??",implicit_hate,not_hate,inferiority
dog whistle like article incites hate > man shot up wanted to kill as many as possible #auspol,not_hate,implicit_hate,
proud white women speak out against white genocide ( video ) via love these gal's !,not_hate,implicit_hate,
tertullian ( 160-220 ) - the catholic faith and jewish power are like the two pans of a pair of scales ...,not_hate,implicit_hate,
is eww your mayo on white bread ?,not_hate,not_hate,
the #us #education system discourages critical thinking skills . hence the ignorant hate that persists against #hitler & national-socialism .,implicit_hate,implicit_hate,white_grievance
only business you run is and going around calling everyone and hiding behind using the word suspected white supremacist . when in fact ur just a suspected black supremacist and the real racist .,not_hate,implicit_hate,
you're not alone ... and no you are not a racist ...,not_hate,not_hate,
why do we have an immigration policy? should just let them have a free for all and all can pay!,implicit_hate,not_hate,irony
so these people must not be white then ?,not_hate,not_hate,
and we demand they be sent hometo heck with their demands while enjoying our way of life while being illegal.,implicit_hate,implicit_hate,threatening
i hesitate to answer. i wouldn't want this lantern-jawed roughneck to think i was gay.,implicit_hate,not_hate,inferiority
if you're not white you're wrong,explicit_hate,explicit_hate,
may he rest in peace . i didnt know him  i bet he was a good man . stood for what was right  the white race .,implicit_hate,implicit_hate,incitement
obama bans confederate flags at veterans cemeteries | read more : via,not_hate,not_hate,
" rt bannon tonight in se alabama   "" all they wanted him ( trump ) for was the corporate tax cut  thats all they want him for . as soon as they get that tax cut  watch what happens . """,not_hate,not_hate,
... also  organized jewry and anti-white,implicit_hate,explicit_hate,white_grievance
4th grade education narrative . how low iq racist are cured = education,not_hate,implicit_hate,
white women signaling they were wrong about feminism.white births a us majority again via,implicit_hate,implicit_hate,incitement
sure  marxists if there trying to promote degeneracy and communists when they are stabbing people .,not_hate,explicit_hate,
tennessee proves once again that #truconservatives are nothing but puppets of big business #srx,not_hate,not_hate,
the white house isn't a city .,not_hate,not_hate,
not a fan  but agree with you on the 20 and 30 something #cuckservatives . their columns are #yuge ammunition for trump,explicit_hate,implicit_hate,
jared and his banker buddies going after this guy . first good thing i've heard in a while,not_hate,not_hate,
pro-antifa = anti white : a new meme .,implicit_hate,implicit_hate,white_grievance
: dr . david duke : the racial murder and rape of white women in america,implicit_hate,explicit_hate,stereotypical
lol  i'm sure you'll win over lots of normies  humble oven merchant,not_hate,not_hate,
hunter wallace has a way with words :,not_hate,explicit_hate,
we've never had any problems anywhere in the south,not_hate,not_hate,
it still looks corporate . the entire point of a logo is so people can recognize you and what you stand for .,not_hate,not_hate,
once again  the entire congress condemns us . congress is less popular than any political group in ameri,not_hate,not_hate,
ernst zndel : the hitler we loved and why | read more : via how we need him now .,implicit_hate,implicit_hate,incitement
dr . david duke : will the white race survive ? ( video ) va,implicit_hate,implicit_hate,incitement
" drops  "" white male "" "" on the bernie bros with the same tone that people use "" "" jew "" "" on twitter """,not_hate,implicit_hate,
100 % anti-whiteanti-racist is a code word for anti-white,not_hate,implicit_hate,
"- if going to war with these animals in unavoidable, it's time to hoist up the black flag.",implicit_hate,explicit_hate,threatening
ur the new leader of the alt right mrtaylor i cant handle it anymor good luck sir i made dad send u a check weu,not_hate,not_hate,
